Id,Claude Label,Claude Short Label,Claude Description,Size
0,Small Indonesian Entertainment Channels,Small Indonesian Ent.,"Small Indonesian-language entertainment/film channels (Nara Yuwana, mytz).",5
1,Small Indonesian Entertainment Channels,Small Indonesian Ent.,"Small Indonesian entertainment channels (xell, incu, Nukie).",3
2,Animated Comedy/Storytime Creators (TheOdd1sOut circle),Animated Storytime Comedy,"Animated storytime comedy channels (TheOdd1sOut, TheOdd2sOut, KRUGSTON).",5
3,Small Food & Lifestyle Vlog Creators,Small Food/Lifestyle,"Small food and lifestyle vlog channels (KarissaEats, Billiam).",3
4,YouTube Platform's Own Official Channels & Creator-News,YouTube Official Channels,"YouTube's own official and creator-education channels (YouTube Creators, YouTube Music, Creator Insider).",7
5,RPG Video Game Publisher Channels,RPG Publisher Channels,"Video game publisher/franchise channels for RPGs (Wuthering Waves, CD PROJEKT RED).",2
6,Miscellaneous Small Channels,Misc. Small Channels,"Loosely connected very small lifestyle channels (ThatGuyJohn, ItsJustJay, Gulay).",3
7,Global Mega Creators (MrBeast-adjacent),Global Mega Creators,"The largest, most mainstream English-language YouTube channels in the world (MrBeast, Mark Rober, Nick DiGiovanni, TED, Dhar Mann) spanning entertainment, food and education.",99
8,Small Strategy/Casual Gaming Creators,Small Strategy/Casual Gaming,"Small creators focused on a mobile strategy game community, likely Brawl Stars (SteelBS, Banpa, PinguinD14).",8
9,Techno/Electronic Music DJs (Awakenings circle),Awakenings Techno DJs,"Techno DJs associated with the Awakenings festival brand (Chris Liebing, Speedy J, Steve Rachmad).",4
10,Small Independent Music Creators,Small Indie Music,"Very small independent music channels (clo what, Isaak Koorey).",2
11,Miscellaneous Small Tech/Religious Channels,Misc. Tech/Religious,"Small unrelated tech and religious channels (TECHLENSIVE, GOSPEL HORN).",2
12,Small Gaming Channels,Small Gaming,"Very small gaming channels (W1ZARD, DragonicDiceB).",2
13,Small Tech Review Channels,Small Tech Reviews,"Small Apple/tech-focused review channels (Alex Ziskind, Andrew Marc David, Just Josh).",4
14,Small Anime/Gaming Fan Channels,Small Anime/Gaming,"Small anime and gaming fan-content channels (Emerald and Ruby, m1nty).",4
15,Seether – Official & VEVO Channels,Seether,Rock band Seether's official and VEVO channels.,2
16,Lloyd – Official & VEVO Channels,Lloyd,R&B artist Lloyd's official and VEVO channels.,2
17,Hip-Hop Artists & VEVO Channels,Hip-Hop/VEVO,"Hip-hop artists and their VEVO channels (Harlem Fetty, G Herbo).",3
18,Maroon 5 Official/VEVO Channels (+ K-pop dance crossover),Maroon 5 + K-pop,"Maroon 5's official and VEVO channels, linked to a K-pop dance-cover channel (Lilifilm Official).",3
19,Country Music Artists,Country Music,"Mainstream country music artists and labels (Dan + Shay, Miranda Lambert, Alison Krauss, Gretchen Wilson).",22
20,Migos – Official & VEVO Channels,Migos,Hip-hop group Migos' official (Migos ATL) and VEVO channels.,2
21,Rihanna – Official & VEVO Channels,Rihanna,Rihanna's official and VEVO channels.,2
22,will.i.am – Official & VEVO Channels,will.i.am,will.i.am's official and VEVO channels.,2
23,Japanese/Asian Music & Global Pop Crossover,JP/Asian-Global Pop,"Cluster dominated by Music of Asia tagged channels, bridged to global pop superstars (Justin Bieber, Ariana Grande) and Japanese singer Ado via collab/feature links; also touches League of Legends esports.",140
24,DJ Khaled – Official & VEVO Channels,DJ Khaled,DJ Khaled's official and VEVO channels.,2
25,Hip-Hop Music Artists & VEVO Channels,Hip-Hop/VEVO,"Hip-hop artists and their official/VEVO channels (YG, DDG, Pay Gotti).",5
26,Nigerian Afrobeats/Dancehall Artists,Nigerian Afrobeats,"Nigerian Afrobeats and dancehall artists (Ruger, Patoranking) and their VEVO channels.",4
27,Latin Pop & K-pop Crossover Artists,Latin/K-pop Crossover,Latin-pop star Becky G (+ VEVO) linked with K-pop group aespa via collaboration.,3
28,Small House/Electronic Music Producers,Small House/Electronic,"Small house/melodic-techno producers (CamelPhat, When Stars Align).",4
29,East African Bongo Flava/Afrobeat Music Artists,Bongo Flava/Afrobeat,"East African (Tanzanian) Bongo Flava and Afrobeat artists (Harmonize, MariooOfficial).",5
30,JID – Official & VEVO Channels,JID,Rapper JID's official and VEVO channels.,2
31,Flo Rida – Official Channel & Video Channel,Flo Rida,Flo Rida's official channel and a secondary video channel.,2
32,Zayn – Official & VEVO Channels,Zayn,Zayn Malik's official and VEVO channels.,2
33,FUNKIST – Official & Auto-generated Topic Channel,FUNKIST,Japanese reggae/rock band FUNKIST's official channel and its auto-generated 'Topic' channel.,2
34,French Montana – Official & VEVO Channels,French Montana,Rapper French Montana's official and VEVO channels.,2
35,Small African Pop Music Creators,Small African Pop,"Small African pop artists (Cindy Sanyu, Gael Will).",2
36,J-pop/K-pop Hit Music & Live Performance Channels,J-pop/K-pop Hits,"Major J-pop/K-pop hit-music channels: HYBE Labels, THE FIRST TAKE live-performance series, LE SSERAFIM, YOASOBI.",54
37,K-pop Idol Groups & Label Channels,K-pop Idol Groups,"K-pop idol groups and their label channels (STARSHIP, IVE, MONSTA X, KiiiKiii).",4
38,New Zealand Independent Music Label (Lil' Chief Records),Lil' Chief Records (NZ),"New Zealand independent/dream-pop label and artists (Lil' Chief Records, Princess Chelsea, Jonathan Bree).",7
39,Lady Gaga – Official & VEVO Channels,Lady Gaga,Lady Gaga's official and VEVO channels.,2
40,Rachael Yamagata – Official & Auto-generated Channels,Rachael Yamagata,Singer-songwriter Rachael Yamagata's channel and auto-generated 'Topic' channel.,3
41,Calum Scott – Official & VEVO Channels,Calum Scott,Calum Scott's official and VEVO channels.,2
42,Future – Official & VEVO Channels,Future,Rapper Future's official and VEVO channels.,2
43,Small Gaming Channels,Small Gaming,"Very small gaming channels (Flashfire Pixel, Fuzzy1220).",2
44,Japanese Independent & Vocaloid Musicians,JP Indie/Vocaloid Music,"Japanese indie-rock and Vocaloid producer channels (Sakanaction, HIMEHINA, cosMo@bousouP, Isekaijoucho).",102
45,Miscellaneous Small Channels,Misc. Small Channels,"Very small unrelated channels (j, Taeverse).",2
46,Argentine Gaming & Lifestyle Creators,Argentine Gaming,"Argentine gaming and lifestyle creators (Lucas Castel, FabriML, Punto Muerto).",3
47,Small Spanish-language Animation Creators,Small Spanish Animation,"Small Spanish-language animation channels (Animación Limitada, Nella En Yutu).",3
48,Directo Natura – Wildlife Channel & Sub-channel,Directo Natura,Spanish wildlife/nature channel Directo Natura and its 'Rapaces' (raptors) spin-off.,2
49,Maria Cecília e Rodolfo – Official & VEVO Channels,Maria Cecília e Rodolfo,Brazilian sertanejo duo Maria Cecília e Rodolfo's official and VEVO (MCeR) channels.,2
50,Brazilian TV Network Channels (TV Globo),TV Globo,Brazilian broadcaster TV Globo and its Masked Singer Brasil franchise channel.,2
51,Brazilian Dentist/Musical Lifestyle Influencer Network,Brazilian Lifestyle Influencers,Brazilian lifestyle influencer 'Dentista Musical' (musical dentist) and family/related channels.,4
52,Brazilian Sertanejo Music Duos,Sertanejo Duos,"Brazilian sertanejo duo acts (Matheus e Kauan, Bruno & Marrone).",2
53,Christian/Evangelical Lifestyle Channels,Christian Lifestyle,"Christian/evangelical motivational and lifestyle channels (Juanribe Pagliarin, canal motivacional evangelico).",3
54,Brazilian Christian TV/Lifestyle Channels,Brazilian Christian TV,"Brazilian Christian television and lifestyle channels (Vida Melhor, REDEVIDA).",2
55,Brazilian TV Network & Music Channels (Multishow/Globo),Globo/Multishow,"Brazilian broadcaster Globo's entertainment and music channels (Multishow, Globoplay, Wanessa Camargo).",4
56,Brazilian Crime/Society Commentary Channels,Brazilian Crime Commentary,"Brazilian true-crime/society commentary channels (O Sargento Castro, Noite de Sirenes).",2
57,Small Parody & Pet Channels,Small Parody/Pets,"Small parody/novelty and pet channels (Poke Spy, Poke Beatbox, Artú E Black).",3
58,Multi-language Global Gaming & Entertainment,Multi-language Gaming,"International mega-creators spanning Spanish (Mikecrack, Rubius), Portuguese (Porta dos Fundos), and English (jacksepticeye) gaming/comedy content.",81
59,Small Sports/Film Edit Channels,Small Sports/Film Edits,"Small sports and film edit/highlight channels (RandomEditz35, AWEYERDAYS).",2
60,Countryball/Mapping Animation Meme Creators,Countryball Mapping Memes,"Geography-meme 'mapping'/countryball animation channels (Friendly Bosnian Mapper, Pakistani Mapper, AAJ Mapping).",8
61,Royalty-Free Background Music Channels,Royalty-Free Music,Royalty-free/no-copyright background music channel (Vlog No Copyright Music) linked to small creators who use its tracks.,5
62,NiniiMei – Main & Live Channels,NiniiMei,Streamer NiniiMei's main channel and dedicated live-streaming channel.,2
63,TNT (ТНТ) Russian TV Network & Spin-off Channel,TNT (Russia),Russian TV network TNT's main channel and its 'Смотри еще' spin-off channel.,2
64,Russian-language 'Make Money Online' Knowledge Channels,Russian 'Make Money' Channels,"Russian-language channels about online income and YouTube growth (GarageBiz, YouTube-мастер).",3
65,Russian Lifestyle Influencer Channels,Russian Lifestyle Influencers,"Russian-language lifestyle/vlog influencer channels (Настюха Бьютюха, V.ictoriii).",2
66,Russian YouTube-Growth/Tech Knowledge Channels,Russian Tech/Growth,"Russian-language channels about YouTube growth and online tech (Виталий Голованов, ХАЙП).",2
67,Russian Independent Media & Politics Channels (TV Rain),TV Rain (Russia),"Russian-language independent/exiled media covering politics (TV Rain/Dozhd, Drama Queens).",4
68,Ukraine War & Geopolitics News Channels,Ukraine War News,"Ukrainian and international news outlets covering the Russia-Ukraine war and politics (24 Kanal, Forbes Breaking News, AP, IDF); majority Cyrillic-script channel names.",27
69,Mansur the Bear – Main & Fan Channels,Mansur the Bear,Russian pet-bear entertainment channel 'Mansur the Bear' and its fan/friends channel.,2
70,Arabic-language Pop Music Artists,Arabic Pop Music,"Major Arabic pop singers and labels (Rotana, Assala Nasri, Rashed Al Majid, Majid Al Mohandis).",10
71,Small Arabic Music Creators,Small Arabic Music,"Small Arabic-language music channels (Ghayaz Alagha, HamoBeatz).",3
72,Small Arabic Music/Knowledge Channels,Small Arabic Music,"Small Arabic-language music and knowledge channels (Anubis Music, Fawasel).",2
73,Sudanese/Chadian Diaspora Community Channels,Sudanese/Chadian Diaspora,Small community channels for the Zaghawa diaspora (Sudan/Chad region).,2
74,Sudanese Arabic Folk Music Channels,Sudanese Arabic Folk,"Sudanese Arabic-language folk/traditional music channels (alkazal alasmar, Dameat Farah).",6
75,South Asian 'Aesthetic' Niche Pop/Music Creators,South Asian 'Aesthetic',"Small South-Asian-diaspora 'aesthetic' style music/lifestyle channels (HOMIDESS78, Xthetic queen).",6
76,Indie Game Developers & Digital Art Creators,Indie GameDev + Art,"A crossover community of indie game developers (PolyMarsDev, Jonas Tyroller, Zapray Games, Barji, Dorbellprod, randy) and digital art/illustration tutorial channels (Kauczuk, Dani, Gawx Art, dP Art Drawing, Vexx, Lander Art), reflecting the audience/skill overlap between game design and digital art. Previously labeled 'Digital Art Tutorials,' which undersold the larger indie-gamedev contingent.",33
77,Miscellaneous Small Hobby & Music Creators,Misc. Hobby/Music,"Loosely connected small channels spanning music, gaming and travel/tourism (Alex Evett, Savfk, Aria Altair).",11
78,Small Gaming & Animation Entertainment Creators,Small Gaming/Animation,"Small gaming and animation entertainment channels (Lipse, Roachie, Blendertainment Animations).",9
79,Small Gaming & Piano Cover Creators,Small Gaming/Piano Covers,"Small gaming commentary channels alongside a piano-cover music channel (CosmosZR, PianoPrince).",6
80,Small Gaming Channels,Small Gaming,"Very small action-adventure gaming channels (Kawaneri Glassie Ch., Kennedy_Meow).",2
81,Nintendo & Retro Gaming Commentary Creators,Nintendo/Retro Gaming,"English-language commentary/analysis channels focused on Nintendo and retro/adventure games (Jacob Alpharad, GameXplain, Mixeli).",44
82,Bhojpuri Folk & Devotional Music Channels,Bhojpuri Folk Music,"Bhojpuri/Hindi folk and devotional music channels from India (Ujala Entertainment, Shilpi Raj, Vijay Chauhan).",8
83,Bhojpuri Music Label Channels,Bhojpuri Labels,"Bhojpuri-language Indian music label channels (T-Series Hamaar Bhojpuri, Khesari Music World, Kallu Music World).",4
84,Miscellaneous Small Channels,Misc. Small Channels,"Small unrelated channels spanning AI music and lifestyle (The AI Songstress, Desserts Haven).",2
85,Russian Pop Music Artists,Russian Pop Music,"Russian-language pop artists (EminOfficial, JONY).",2
86,Hindi Devotional/Bhakti Music Channels,Hindi Bhakti Music,"Hindi-language devotional (bhakti) music channels (Rangin Music Bhakti, Bolbam Bhakti).",2
87,TheFatRat Electronic Music (paired with small gaming channel),TheFatRat Electronic,Electronic music producer TheFatRat linked via collab to a small gaming channel.,2
88,Wave Music Bhojpuri Label Network,Wave Music (Bhojpuri),The Wave Music label's family of Bhojpuri-language music channels.,4
89,Japanese Minecraft/Family-friendly Gaming Creators,JP Family Minecraft,"Family-friendly Japanese Minecraft and gaming channels (カラフルピーチ, ふうはや, Minecraft Japan official).",14
90,Dozle-sha (ドズル社) Japanese Minecraft Group & Affiliates,Dozle-sha (ドズル社),"The ドズル社 Japanese Minecraft streamer group and its individual members' channels, plus HikakinGames.",9
91,Japanese VTuber & Gaming Story-time Creators,JP VTuber/Story-time,"Japanese small-to-mid VTuber and gaming/story-time channels (P丸様。, なつめさんち, サムライ翔).",41
92,Japanese Small Entertainment & Pet Vlog Creators,JP Small Entertainment/Pets,"Small Japanese entertainment and pet-vlog channels (マナル隊MANARUTAI, だいの大冒険).",6
93,Japanese Youth Variety/Street-style YouTuber Circle,JP Street-style YouTubers,"Young Japanese YouTuber groups doing street-style/variety/vlog content who frequently collaborate (スカイピース, コムドット).",24
94,Japanese Comedy/Entertainment Skit Creators,JP Comedy Skits,"Japanese comedy and entertainment skit channels (あしざるFC, Asahi Izumi, SAGIRIX).",5
95,Japanese VTuber & Entertainment Skit Creators,JP VTuber/Skits,"Japanese entertainment/skit channels with VTuber elements (混血のカレコレ, 全力回避フラグちゃん!, コヤッキースタジオ).",15
96,Japanese Anime/Entertainment Channels,JP Anime/Entertainment,"Small Japanese anime and entertainment channels (マイ部アニメ, FutsuoFutsuko).",2
97,Hololive VTuber Fandom & English Gaming Commentary,Hololive Fandom,"English-speaking gaming commentators (penguinz0, Ludwig) collabing heavily with Hololive VTubers (Gawr Gura, Marine, Suisei, Pekora).",171
98,Japanese Kids & Family Entertainment (Bonbon TV network),Bonbon TV Network,"Family/kids-oriented Japanese entertainment channel network (ボンボンTV, ボンボンアカデミー, たこちゃんねる).",12
99,Fischer's Japanese YouTuber Group & Affiliated Channels,Fischer's Group,The Fischer's comedy/vlog group (Japan's most-viewed YouTuber group) and affiliated channels like QuizKnock.,11
100,Small Japanese Gaming Channels,Small JP Gaming,"Very small Japanese gaming channels (よみちゃんねる, Su channel).",3
101,Japanese Vocaloid & Project Sekai Music Community,JP Vocaloid/Project Sekai,"Vocaloid/Project Sekai-affiliated Japanese music creators (Hatsune Miku's Project Sekai, BUMP OF CHICKEN, Chinozo, Nayutalien).",75
102,Small Japanese Gaming Channels,Small JP Gaming,"Very small Japanese gaming channels (Naopon_youtube, sinoくん).",2
103,Small Japanese Gaming Channels,Small JP Gaming,"Very small Japanese RPG/gaming channels (ちびリサch, ヤナギのゲーム場).",3
104,Small/Indie Japanese VTuber Gaming Creators,Small/Indie JP VTubers,"Small-subscriber independent Japanese VTubers focused on gaming (おひげチャンネル, 霧島ネル, Yukari-san).",26
105,Rock/Metal Music & Japanese VTuber Gaming Mix,Rock/Metal + JP VTuber,"Western rock/metal bands (Slipknot, Ice Nine Kills, NEMOPHILA) mixed with Japanese VTuber gaming channels, linked via shared music/game topic tags.",80
106,Japanese Hobby & School-life Entertainment Creators,JP Hobby/School-life,"Japanese hobby and school-life themed entertainment channels (Kota Mino Channel, REAL PIECE).",6
107,Japanese Family/Lifestyle Entertainment Channels,JP Family/Lifestyle,"Japanese family and lifestyle entertainment channels (HIMAWARIちゃんねる, ポケるんTV).",3
108,Small Japanese VTuber Gaming Creators,Small JP VTuber Gaming,"Very small Japanese VTuber channels focused on gaming (六本松 蟹子, しょーとちゃん寝る).",18
109,Japanese Action-Game Gaming Creators,JP Action-Game Gaming,"Japanese-language gaming commentators focused on action games (ぷりっつ, LiaqN, ぶゅりる).",45
110,Aizawa Ema – Main & Sub Channels,Aizawa Ema,VTuber/streamer Aizawa Ema's main channel and 'sub' channel.,2
111,Japanese/Korean Vlog & Food Content Creators,JP/KR Vlog & Food,"Japanese and Korean-language vlog and food channels (オムライス兄さん, そば湯, 김습습Double Soup).",16
112,Japanese Food & Lifestyle Vloggers,JP Food/Lifestyle Vlogs,"Japanese cooking and daily-lifestyle vlog channels (Kimagure Cook, かの/カノックスター, 中町綾).",21
