Id,Label,Cluster Id,Cluster Label,Cluster Main Attribute,Cluster Description
UC-APlmDP40YlEG4Yb5taKmA,mytz,0,Small Indonesian Entertainment Channels,Language/Region,"Small Indonesian-language entertainment/film channels (Nara Yuwana, mytz)."
UCtJgiyoDYIkpLKSMeGbCO1Q,Nara Yuwana,0,Small Indonesian Entertainment Channels,Language/Region,"Small Indonesian-language entertainment/film channels (Nara Yuwana, mytz)."
UCHxvwUZ4kvZbzZomO0EWsSg,incu,1,Small Indonesian Entertainment Channels,Language/Region,"Small Indonesian entertainment channels (xell, incu, Nukie)."
UCqJkFqNl1vf0-2wHbm32Cmw,Nukie,1,Small Indonesian Entertainment Channels,Language/Region,"Small Indonesian entertainment channels (xell, incu, Nukie)."
UCFxcvC9iSvS3OX5B6_cUxAg,AdamX,2,Animated Comedy/Storytime Creators (TheOdd1sOut circle),Content Format,"Animated storytime comedy channels (TheOdd1sOut, TheOdd2sOut, KRUGSTON)."
UCPVYpoY_hhNhA2zz3EyiM7A,Rizatch,2,Animated Comedy/Storytime Creators (TheOdd1sOut circle),Content Format,"Animated storytime comedy channels (TheOdd1sOut, TheOdd2sOut, KRUGSTON)."
UCVVVUIzfO4y3k_m3QSS6gYQ,Billiam: Hipster Trash,3,Small Food & Lifestyle Vlog Creators,Topic/Genre,"Small food and lifestyle vlog channels (KarissaEats, Billiam)."
UCcHBw_Rs56RFcisYAOlFfmQ,Billiam,3,Small Food & Lifestyle Vlog Creators,Topic/Genre,"Small food and lifestyle vlog channels (KarissaEats, Billiam)."
UCGg-UqjRgzhYDPJMr-9HXCg,Creator Insider,4,YouTube Platform's Own Official Channels & Creator-News,Topic/Genre,"YouTube's own official and creator-education channels (YouTube Creators, YouTube Music, Creator Insider)."
UCkRfArvrzheW2E7b6SVT7vQ,YouTube Creators,4,YouTube Platform's Own Official Channels & Creator-News,Topic/Genre,"YouTube's own official and creator-education channels (YouTube Creators, YouTube Music, Creator Insider)."
UC0Bi5KMcECRVYis5Gb_ZYZQ,Wuthering Waves,5,RPG Video Game Publisher Channels,Topic/Genre,"Video game publisher/franchise channels for RPGs (Wuthering Waves, CD PROJEKT RED)."
UCuCtanBJXOPAEIAUXf9944g,CD PROJEKT RED,5,RPG Video Game Publisher Channels,Topic/Genre,"Video game publisher/franchise channels for RPGs (Wuthering Waves, CD PROJEKT RED)."
UCdTGhThvyuEJQ8uMKlhgM9A,Gulay,6,Miscellaneous Small Channels,Miscellaneous,"Loosely connected very small lifestyle channels (ThatGuyJohn, ItsJustJay, Gulay)."
