Source,Target,Type,Weight,videos
UC-APlmDP40YlEG4Yb5taKmA,UCtJgiyoDYIkpLKSMeGbCO1Q,Undirected,1,1
UCHxvwUZ4kvZbzZomO0EWsSg,UCqJkFqNl1vf0-2wHbm32Cmw,Undirected,1,1
UCFxcvC9iSvS3OX5B6_cUxAg,UCPVYpoY_hhNhA2zz3EyiM7A,Undirected,1,1
UCVVVUIzfO4y3k_m3QSS6gYQ,UCcHBw_Rs56RFcisYAOlFfmQ,Undirected,1,1
UCGg-UqjRgzhYDPJMr-9HXCg,UCkRfArvrzheW2E7b6SVT7vQ,Undirected,11,11
UC0Bi5KMcECRVYis5Gb_ZYZQ,UCuCtanBJXOPAEIAUXf9944g,Undirected,1,1
UCdTGhThvyuEJQ8uMKlhgM9A,UCjViLOtyvR9h1hXZU6F6q6w,Undirected,1,1
UCFJLO3HoTMzXYoeb2ocXe8w,UCWc8CackfCo4q46FpEWBcPg,Undirected,1,1
UCFJLO3HoTMzXYoeb2ocXe8w,UC_J_2HxLExDed9fITZTUDXQ,Undirected,10,10
UCFJLO3HoTMzXYoeb2ocXe8w,UC_hK9fOxyy_TM8FJGXIyG8Q,Undirected,10,10
UCFJLO3HoTMzXYoeb2ocXe8w,UCyYmJqr8JWIGQ1BDdnnXaBA,Undirected,4,4
UCWc8CackfCo4q46FpEWBcPg,UC_J_2HxLExDed9fITZTUDXQ,Undirected,1,1
UCWc8CackfCo4q46FpEWBcPg,UC_hK9fOxyy_TM8FJGXIyG8Q,Undirected,1,1
UCWc8CackfCo4q46FpEWBcPg,UCyYmJqr8JWIGQ1BDdnnXaBA,Undirected,1,1
UC_J_2HxLExDed9fITZTUDXQ,UC_hK9fOxyy_TM8FJGXIyG8Q,Undirected,10,10
UC_J_2HxLExDed9fITZTUDXQ,UCyYmJqr8JWIGQ1BDdnnXaBA,Undirected,4,4
UC_hK9fOxyy_TM8FJGXIyG8Q,UCyYmJqr8JWIGQ1BDdnnXaBA,Undirected,4,4
UCC-RHF_77zQdKcA75hr5oTQ,UC_hK9fOxyy_TM8FJGXIyG8Q,Undirected,1,1
UCJC4N7DUUd0SUICV5FqCXkg,UCOVOFrXlQQxTdklYAzP1C-Q,Undirected,2,2
UCJC4N7DUUd0SUICV5FqCXkg,UCe2SaU4UT7jkpTP04TM_hJA,Undirected,7,7
UCJC4N7DUUd0SUICV5FqCXkg,UCvl54wMzxTPObTA2NKDGAbw,Undirected,1,1
UCOVOFrXlQQxTdklYAzP1C-Q,UCe2SaU4UT7jkpTP04TM_hJA,Undirected,1,1
UCOVOFrXlQQxTdklYAzP1C-Q,UCvl54wMzxTPObTA2NKDGAbw,Undirected,1,1
