Id,Label,url,Main Topic,Total Views,Total Videos,Subscribers
UC-APlmDP40YlEG4Yb5taKmA,mytz,https://www.youtube.com/channel/UC-APlmDP40YlEG4Yb5taKmA,Lifestyle (sociology),10161387,65,94000
UCtJgiyoDYIkpLKSMeGbCO1Q,Nara Yuwana,https://www.youtube.com/channel/UCtJgiyoDYIkpLKSMeGbCO1Q,Film,538678829,579,663000
UCHxvwUZ4kvZbzZomO0EWsSg,incu,https://www.youtube.com/channel/UCHxvwUZ4kvZbzZomO0EWsSg,Entertainment,31663408,82,296000
UCqJkFqNl1vf0-2wHbm32Cmw,Nukie,https://www.youtube.com/channel/UCqJkFqNl1vf0-2wHbm32Cmw,Role-playing video game,193050,211,845
UCFxcvC9iSvS3OX5B6_cUxAg,AdamX,https://www.youtube.com/channel/UCFxcvC9iSvS3OX5B6_cUxAg,Entertainment,492364,31,17200
UCPVYpoY_hhNhA2zz3EyiM7A,Rizatch,https://www.youtube.com/channel/UCPVYpoY_hhNhA2zz3EyiM7A,Music,20306598,15,71400
UCVVVUIzfO4y3k_m3QSS6gYQ,Billiam: Hipster Trash,https://www.youtube.com/channel/UCVVVUIzfO4y3k_m3QSS6gYQ,Action game,381470,22,37500
UCcHBw_Rs56RFcisYAOlFfmQ,Billiam,https://www.youtube.com/channel/UCcHBw_Rs56RFcisYAOlFfmQ,Film,113379380,210,739000
UCGg-UqjRgzhYDPJMr-9HXCg,Creator Insider,https://www.youtube.com/channel/UCGg-UqjRgzhYDPJMr-9HXCg,Technology,28258588,914,877000
UCkRfArvrzheW2E7b6SVT7vQ,YouTube Creators,https://www.youtube.com/channel/UCkRfArvrzheW2E7b6SVT7vQ,Lifestyle (sociology),429047075,666,10200000
UC0Bi5KMcECRVYis5Gb_ZYZQ,Wuthering Waves,https://www.youtube.com/channel/UC0Bi5KMcECRVYis5Gb_ZYZQ,Role-playing video game,369334595,621,1540000
UCuCtanBJXOPAEIAUXf9944g,CD PROJEKT RED,https://www.youtube.com/channel/UCuCtanBJXOPAEIAUXf9944g,Lifestyle (sociology),11609948,203,274000
UCdTGhThvyuEJQ8uMKlhgM9A,Gulay,https://www.youtube.com/channel/UCdTGhThvyuEJQ8uMKlhgM9A,,57,0,1190
UCjViLOtyvR9h1hXZU6F6q6w,ThatGuyJohn,https://www.youtube.com/channel/UCjViLOtyvR9h1hXZU6F6q6w,Lifestyle (sociology),2372351,50,28700
UCFJLO3HoTMzXYoeb2ocXe8w,Dhar Mann Studios Top Videos,https://www.youtube.com/channel/UCFJLO3HoTMzXYoeb2ocXe8w,Film,1765092564,1134,2920000
UCWc8CackfCo4q46FpEWBcPg,Jeenie.Weenie,https://www.youtube.com/channel/UCWc8CackfCo4q46FpEWBcPg,Film,15835003401,1822,13100000
UC_J_2HxLExDed9fITZTUDXQ,Dhar Mann Bonus,https://www.youtube.com/channel/UC_J_2HxLExDed9fITZTUDXQ,Film,1292465042,1054,2860000
UC_hK9fOxyy_TM8FJGXIyG8Q,Dhar Mann Studios,https://www.youtube.com/channel/UC_hK9fOxyy_TM8FJGXIyG8Q,Film,19897741451,1884,27200000
UCyYmJqr8JWIGQ1BDdnnXaBA,Dhar Mann Bonus Compilations,https://www.youtube.com/channel/UCyYmJqr8JWIGQ1BDdnnXaBA,Television program,304313031,373,915000
UCC-RHF_77zQdKcA75hr5oTQ,FGTeeV,https://www.youtube.com/channel/UCC-RHF_77zQdKcA75hr5oTQ,Action game,26092952533,1878,25400000
UCJC4N7DUUd0SUICV5FqCXkg,Unreal BS,https://www.youtube.com/channel/UCJC4N7DUUd0SUICV5FqCXkg,Video game culture,6202035,209,8800
UCOVOFrXlQQxTdklYAzP1C-Q,GeoBeluga,https://www.youtube.com/channel/UCOVOFrXlQQxTdklYAzP1C-Q,Casual game,10239,9,308
